target,prediction,n
0,0,122
0,1,0
0,2,31
0,3,455
0,4,37
0,5,4
0,6,0
0,7,0
0,8,0
1,0,0
1,1,27
1,2,30
1,3,462
1,4,56
1,5,1
1,6,4
1,7,5
1,8,0
2,0,11
2,1,0
2,2,417
2,3,3438
2,4,153
2,5,38
2,6,20
2,7,34
2,8,0
3,0,55
3,1,9
3,2,343
3,3,9842
3,4,485
3,5,83
3,6,274
3,7,48
3,8,1
4,0,12
4,1,0
4,2,38
4,3,659
4,4,5321
4,5,3
4,6,42
4,7,35
4,8,0
5,0,10
5,1,1
5,2,120
5,3,783
5,4,150
5,5,52713
5,6,11
5,7,11
5,8,1
6,0,5
6,1,3
6,2,66
6,3,678
6,4,100
6,5,8
6,6,2637
6,7,2
6,8,0
7,0,0
7,1,0
7,2,1
7,3,34
7,4,100
7,5,5
7,6,30
7,7,213
7,8,0
8,0,0
8,1,0
8,2,1
8,3,28
8,4,3
8,5,1
8,6,0
8,7,0
8,8,11
